id,disease,complaint
1,COVID-19,"Hocam, dünden beri koku alamıyorum ve baş ağrısı eşlik ediyor."
2,COVID-19,"Doktor bey, iki gündür koku alamıyorum ve çok halsizim."
3,COVID-19,"Doktor bey, son birkaç gündür çok halsizim ve vücut ağrısı hissediyorum."
4,COVID-19,"Hocam, iki gündür merdiven çıkınca nefes nefese kalıyorum ve ateşim var."
5,COVID-19,"Hocam, sabahtan beri koku alamıyorum, sulu dışkılama oldu ve enerjim yok."
6,COVID-19,"Hocam, son birkaç gündür kas ve eklem ağrılarım var ve sulu dışkılama oldu."
7,COVID-19,"Doktor hanım, son birkaç gündür kas ve eklem ağrılarım var ve sulu dışkılama oldu."
8,COVID-19,"Doktor hanım, bir haftadır balgamsız öksürüyorum ve burun akıntım var."
9,COVID-19,"Doktor hanım, dünden beri burun tıkanıklığım var, tat duyum kayboldu ve burnum tıkalı."
10,COVID-19,"Doktor hanım, üç gündür enerjim yok, yutkunurken boğazım acıyor ve tat duyum kayboldu."
11,COVID-19,"Hocam, dünden beri tat ve koku alamıyorum ve vücut ağrısı hissediyorum."
12,COVID-19,"Doktor hanım, iki gündür tat duyum kayboldu, vücut ağrısı hissediyorum ve tat duyum kayboldu."
13,COVID-19,"Hocam, sabahtan beri ateşim çıkıyor ve kas ve eklem ağrılarım var."
14,COVID-19,"Doktor hanım, bir haftadır burun tıkanıklığım var ve vücut ağrısı hissediyorum."
15,COVID-19,"Doktor hanım, sabahtan beri enerjim yok, bulantım var ve merdiven çıkınca nefes nefese kalıyorum."
16,COVID-19,"Doktor bey, bir haftadır tat duyum kayboldu ve koku alamıyorum."
17,COVID-19,"Hocam, sabahtan beri tat duyum kayboldu, sulu dışkılama oldu ve yorgunluk hissediyorum."
18,COVID-19,"Hocam, sabahtan beri nefes darlığım var, nefes darlığım var ve tat ve koku alamıyorum."
19,COVID-19,"Hocam, iki gündür balgamsız öksürüyorum, ateşim var ve tat ve koku alamıyorum."
20,COVID-19,"Doktor bey, iki gündür tat duyum kayboldu ve kas ve eklem ağrılarım var."
21,COVID-19,"Doktor hanım, bir haftadır balgamsız öksürüyorum, geceleri artan öksürüğüm var ve kuru öksürüğüm var."
22,COVID-19,"Doktor bey, dünden beri vücut ağrısı hissediyorum, koku alamıyorum ve çok halsizim."
23,COVID-19,"Doktor hanım, sabahtan beri çok halsizim ve balgamsız öksürüyorum."
24,COVID-19,"Hocam, dünden beri ishalim var ve çok halsizim."
25,COVID-19,"Doktor hanım, üç gündür ateşim çıkıyor ve sulu dışkılama oldu."
26,COVID-19,"Doktor hanım, bir haftadır başım ağrıyor, tat duyum kayboldu ve geceleri artan öksürüğüm var."
27,COVID-19,"Hocam, iki gündür nefes darlığım var, ateşim var ve balgamsız öksürüyorum."
28,COVID-19,"Doktor hanım, bir haftadır bulantım var ve balgamsız öksürüyorum."
29,COVID-19,"Hocam, sabahtan beri ateşim var ve boğazımda yanma var."
30,COVID-19,"Doktor hanım, iki gündür geceleri artan öksürüğüm var ve boğazımda yanma var."
31,COVID-19,"Doktor hanım, üç gündür geceleri artan öksürüğüm var ve ateşim çıkıyor."
32,COVID-19,"Hocam, bir haftadır yüksek ateşim oluyor ve merdiven çıkınca nefes nefese kalıyorum."
33,COVID-19,"Doktor bey, dünden beri boğazım ağrıyor, yutkunurken boğazım acıyor ve ateşim 38 derece civarında."
34,COVID-19,"Doktor hanım, sabahtan beri balgamsız öksürüyorum ve yüksek ateşim oluyor."
35,COVID-19,"Hocam, iki gündür kas ve eklem ağrılarım var ve tat ve koku alamıyorum."
36,COVID-19,"Doktor bey, sabahtan beri kuru öksürüğüm var ve ara sıra kusuyorum."
37,COVID-19,"Doktor hanım, dünden beri baş ağrısı eşlik ediyor, çok halsizim ve enerjim yok."
38,COVID-19,"Doktor bey, iki gündür tat duyum kayboldu ve kas ve eklem ağrılarım var."
39,COVID-19,"Hocam, sabahtan beri boğazım ağrıyor ve baş ağrısı eşlik ediyor."
40,COVID-19,"Doktor bey, bir haftadır kas ve eklem ağrılarım var, enerjim yok ve koku alamıyorum."
41,COVID-19,"Hocam, iki gündür tat duyum kayboldu ve ara sıra kusuyorum."
42,COVID-19,"Hocam, iki gündür ateşim var ve merdiven çıkınca nefes nefese kalıyorum."
43,COVID-19,"Hocam, dünden beri balgamsız öksürüyorum ve burun akıntım var."
44,COVID-19,"Doktor bey, sabahtan beri nefes darlığım var ve balgamsız öksürüyorum."
45,COVID-19,"Hocam, son birkaç gündür tat duyum kayboldu ve kas ve eklem ağrılarım var."
46,COVID-19,"Doktor bey, dünden beri yüksek ateşim oluyor ve yüksek ateşim oluyor."
47,COVID-19,"Hocam, bir haftadır yorgunluk hissediyorum ve ateşim çıkıyor."
48,COVID-19,"Doktor bey, üç gündür baş ağrısı eşlik ediyor ve vücut ağrısı hissediyorum."
49,COVID-19,"Hocam, son birkaç gündür balgamsız öksürüyorum, kuru öksürüğüm var ve yorgunluk hissediyorum."
50,COVID-19,"Hocam, bir haftadır merdiven çıkınca nefes nefese kalıyorum, ishalim var ve yorgunluk hissediyorum."
51,COVID-19,"Doktor hanım, iki gündür boğazımda yanma var, geceleri artan öksürüğüm var ve enerjim yok."
52,COVID-19,"Doktor bey, sabahtan beri balgamsız öksürüyorum ve başım ağrıyor."
53,COVID-19,"Doktor bey, dünden beri kas ve eklem ağrılarım var ve yüksek ateşim oluyor."
54,COVID-19,"Hocam, sabahtan beri boğazımda yanma var ve balgamsız öksürüyorum."
55,COVID-19,"Doktor hanım, sabahtan beri balgamsız öksürüyorum, vücut ağrısı hissediyorum ve burun akıntım var."
56,COVID-19,"Doktor hanım, son birkaç gündür geceleri artan öksürüğüm var, boğazım ağrıyor ve yüksek ateşim oluyor."
57,COVID-19,"Doktor hanım, üç gündür başım ağrıyor, vücut ağrısı hissediyorum ve merdiven çıkınca nefes nefese kalıyorum."
58,COVID-19,"Doktor hanım, dünden beri vücut ağrısı hissediyorum ve nefes darlığım var."
59,COVID-19,"Hocam, dünden beri tat ve koku alamıyorum ve tat duyum kayboldu."
60,COVID-19,"Doktor hanım, iki gündür geceleri artan öksürüğüm var ve tat duyum kayboldu."
61,COVID-19,"Doktor bey, bir haftadır nefes darlığım var ve koku alamıyorum."
62,COVID-19,"Doktor bey, iki gündür koku alamıyorum ve kuru öksürüğüm var."
63,COVID-19,"Doktor hanım, son birkaç gündür tat ve koku alamıyorum ve tat duyum kayboldu."
64,COVID-19,"Doktor bey, sabahtan beri kuru öksürüğüm var, geceleri artan öksürüğüm var ve merdiven çıkınca nefes nefese kalıyorum."
65,COVID-19,"Doktor hanım, son birkaç gündür bulantım var, bulantım var ve kuru öksürüğüm var."
66,COVID-19,"Doktor bey, son birkaç gündür kuru öksürüğüm var ve vücut ağrısı hissediyorum."
67,COVID-19,"Hocam, iki gündür baş ağrısı eşlik ediyor ve enerjim yok."
68,COVID-19,"Doktor hanım, son birkaç gündür sulu dışkılama oldu, tat duyum kayboldu ve kuru öksürüğüm var."
69,COVID-19,"Doktor bey, sabahtan beri tat ve koku alamıyorum ve yorgunluk hissediyorum."
70,COVID-19,"Doktor bey, son birkaç gündür tat ve koku alamıyorum ve burun akıntım var."
71,COVID-19,"Doktor bey, üç gündür kuru öksürüğüm var ve bulantım var."
72,COVID-19,"Doktor bey, dünden beri sulu dışkılama oldu ve bulantım var."
73,COVID-19,"Doktor bey, sabahtan beri nefes darlığım var ve koku alamıyorum."
74,COVID-19,"Doktor hanım, iki gündür çok halsizim, ateşim çıkıyor ve geceleri artan öksürüğüm var."
75,COVID-19,"Doktor hanım, üç gündür koku alamıyorum ve tat ve koku alamıyorum."
76,COVID-19,"Doktor bey, bir haftadır geceleri artan öksürüğüm var ve kuru öksürüğüm var."
77,COVID-19,"Doktor bey, iki gündür kas ve eklem ağrılarım var, baş ağrısı eşlik ediyor ve yorgunluk hissediyorum."
78,COVID-19,"Hocam, iki gündür tat duyum kayboldu ve çok halsizim."
79,COVID-19,"Doktor hanım, bir haftadır kas ve eklem ağrılarım var, koku alamıyorum ve sulu dışkılama oldu."
80,COVID-19,"Hocam, iki gündür tat ve koku alamıyorum ve yorgunluk hissediyorum."
81,COVID-19,"Doktor hanım, son birkaç gündür vücut ağrısı hissediyorum ve yorgunluk hissediyorum."
82,COVID-19,"Doktor hanım, sabahtan beri koku alamıyorum, nefes darlığım var ve yorgunluk hissediyorum."
83,COVID-19,"Doktor hanım, bir haftadır yutkunurken boğazım acıyor, baş ağrısı eşlik ediyor ve tat ve koku alamıyorum."
84,COVID-19,"Doktor bey, sabahtan beri balgamsız öksürüyorum, nefes darlığım var ve tat ve koku alamıyorum."
85,COVID-19,"Doktor hanım, üç gündür burun tıkanıklığım var ve yorgunluk hissediyorum."
86,COVID-19,"Doktor bey, üç gündür burun tıkanıklığım var, geceleri artan öksürüğüm var ve ateşim çıkıyor."
87,COVID-19,"Doktor hanım, dünden beri baş ağrısı eşlik ediyor ve merdiven çıkınca nefes nefese kalıyorum."
88,COVID-19,"Doktor hanım, iki gündür tat duyum kayboldu, kuru öksürüğüm var ve baş ağrısı eşlik ediyor."
